ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;NIVEL;CARGO;NOME_CARGO;APROVADA;DISTRIBUIDA;OCUPADA;VAGO;;Cliente;Tema;Fonte;Data Carga;Origem Dados;Periodicidade;Responsável;Versão Script;Ambiente Execução
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;10057;AUXILIAR OPERACIONAL DE AGROPECUARIA;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;22023;AUXILIAR DE AMBULATORIO;2;2;0;2;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;22095;OFICIAL DE MANUTENCAO;61;61;0;61;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;438004;AUXILIAR DE LABORATORIO;116;105;89;27;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482009;AG OPERAC DE TELEC E ELETRICIDADE;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482018;ARTIFICE DE ARTES GRAFICAS;6;6;6;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482019;ARTIF DE CARPINT E MARCENARIA;2;2;2;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482021;ARTIF DE ELETRIC COMUNICACOES;5;5;5;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482025;ARTIFICE DE MECANICA;8;8;8;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
fev 2016;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482037;AUXILIAR DE ARTES GRAFICAS;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-28;ods;Mensal;Automação de Script;1.0;Produção
