ANO_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;NIVEL;CARGO;NOME_CARGO;APROVADA;DISTRIBUIDA;OCUPADA;VAGA;;CLIENTE;TEMA;FONTE;DATA_CARGA;DATA_ACESSO;FORMATO_ORIGEM;PERIODICIDADE;RESPONSAVEL;VERSAO_SCRIPT;AMBIENTE_EXECUCAO
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;10057;AUXILIAR OPERACIONAL DE AGROPECUARIA;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;104010;AUXILIAR DE LABORATORIO;87;87;74;13;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;104020;AUXILIAR OPERACIONAL EM AGROPECUARIA;623;623;379;244;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482009;AG OPERAC DE TELEC E ELETRICIDADE;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482018;ARTIFICE DE ARTES GRAFICAS;6;6;6;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482019;ARTIF DE CARPINT E MARCENARIA;2;2;2;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482021;ARTIF DE ELETRIC COMUNICACOES;3;3;3;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482025;ARTIFICE DE MECANICA;3;3;3;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482038;AUXILIAR DE ARTIFICE;13;13;13;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482065;AUXILIAR DE SERV GERAIS;1;1;1;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482067;AUX EM TRANSP MARITIMO E FLUVIAL;2;2;2;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482079;AUX OPERAC SERV DIVERSOS;25;25;25;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NA;482159;TRATORISTA;9;9;9;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;8001;AGENTE ADMINISTRATIVO;3;3;3;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104001;AGENTE DE INSP SANIT IND PROD ORIGEM ANI;1638;1638;851;787;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104002;AGENTE DE ATIVIDADES AGROPECUARIAS;593;593;317;276;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;104003;TECNICO DE LABORATORIO;265;265;215;50;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;406003;TECNICO;84;0;0;84;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;407002;ASSISTENTE EM CIENCIA E TECNOLOGIA;97;14;13;84;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;428005;TECNICO AMBIENTAL;2;2;1;1;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;428006;TECNICO ADMINISTRATIVO;7;7;5;2;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;430001;AGENTE ADMINISTRATIVO;2;2;2;0;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;430098;MOTORISTA OFICIAL;1;0;0;1;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
set 2020;13000;MINIST.DA AGRICULTURA,PECUARIA E ABAST.;MAPA;NI;438002;AGENTE DE ATIV AGROPECUARIAS;425;425;0;425;;governo federal;cargos e vacancias;https://dados.gov.br/dados/conjuntos-dados/gestao-de-pessoas-executivo-federal---cargos-vagos-e-vacancias;2024-10-30;2024-10-30 15:09:45;ods;Mensal;Automação de Script;1.0;Produção
